,microbe,microbe_genus,patient
0,Corynebacterium urealyticum,1716,chrf_rna_0050_s50.csv
1,Actinomyces naeslundii,1654,chrf_rna_0038_s38.csv
2,Massilia putida,149698,chrf_rna_0004_s4.csv
3,Frondihabitans sp. PAMC 28766,447237,chrf_rna_0004_s4.csv
4,Rothia mucilaginosa,32207,chrf_rna_0004_s4.csv
5,Methylobacterium aquaticum,407,chrf_rna_0004_s4.csv
6,Sphingomonas taxi,13687,chrf_rna_0004_s4.csv
7,Modestobacter marinus,88138,chrf_rna_0004_s4.csv
8,Streptococcus thermophilus,1301,chrf_rna_0004_s4.csv
9,Curtobacterium sp. 9128,2034,chrf_rna_0004_s4.csv
10,Janthinobacterium agaricidamnosum,29580,chrf_rna_0004_s4.csv
11,Streptococcus pneumoniae,1301,chrf_rna_0074_s74.csv
12,Torque teno virus 12,687331,chrf_rna_0074_s74.csv
13,Escherichia coli,561,chrf_rna_0052_s52.csv
14,Torque teno mini virus 18,687332,chrf_rna_0052_s52.csv
15,Streptococcus sanguinis,1301,chrf_rna_0085_s85.csv
16,Burkholderia lata,32008,chrf_rna_0085_s85.csv
17,Rothia aeria,32207,chrf_rna_0085_s85.csv
18,Buchnera aphidicola,32199,chrf_rna_0085_s85.csv
19,Neisseria meningitidis,482,chrf_rna_0085_s85.csv
20,Actinomyces oris,1654,chrf_rna_0085_s85.csv
21,Staphylococcus capitis,1279,chrf_rna_0085_s85.csv
22,Haemophilus parainfluenzae,724,chrf_rna_0085_s85.csv
23,Streptococcus pneumoniae,1301,chrf_rna_0061_s61.csv
24,Enterobacter hormaechei,547,chrf_rna_0005_s5.csv
25,Betapapillomavirus 2,333922,chrf_rna_0005_s5.csv
26,Streptococcus pneumoniae,1301,chrf_rna_0002_s2.csv
27,Elizabethkingia anophelis,308865,chrf_rna_0088_s88.csv
28,Klebsiella pneumoniae,570,chrf_rna_0041_s41.csv
29,Aeromonas hydrophila,642,chrf_rna_0041_s41.csv
30,Bacillus coagulans,1386,chrf_rna_0041_s41.csv
31,Streptococcus pneumoniae,1301,chrf_rna_0064_s64.csv
32,Haemophilus influenzae,724,chrf_rna_0027_s27.csv
33,Nitrospira moscoviensis,1234,chrf_rna_0027_s27.csv
34,Streptococcus mitis,1301,chrf_rna_0040_s40.csv
35,Corynebacterium vitaeruminis,1716,chrf_rna_0040_s40.csv
36,Sphingomonas taxi,13687,chrf_rna_0040_s40.csv
37,Anaerococcus prevotii,165779,chrf_rna_0040_s40.csv
38,Moraxella osloensis,475,chrf_rna_0040_s40.csv
39,Streptococcus pneumoniae,1301,chrf_rna_0037_s37.csv
40,Streptococcus pneumoniae,1301,chrf_rna_0073_s73.csv
41,Streptococcus pneumoniae,1301,chrf_rna_0014_s14.csv
42,TTV-like mini virus,687332,chrf_rna_0014_s14.csv
43,Pseudomonas stutzeri,286,chrf_rna_0015_s15.csv
44,Acinetobacter lwoffii,469,chrf_rna_0015_s15.csv
45,Primate tetraparvovirus 1,1511911,chrf_rna_0015_s15.csv
46,Elizabethkingia anophelis,308865,chrf_rna_0029_s29.csv
47,Streptococcus pneumoniae,1301,chrf_rna_0075_s75.csv
48,Streptococcus pneumoniae,1301,chrf_rna_0026_s26.csv
49,Pseudomonas fragi,286,chrf_rna_0016_s16.csv
50,Streptococcus pneumoniae,1301,chrf_rna_0076_s76.csv
51,Tobacco mild green mosaic virus,12234,chrf_rna_0076_s76.csv
52,TTV-like mini virus,687332,chrf_rna_0039_s39.csv
53,Streptococcus pneumoniae,1301,chrf_rna_0086_s86.csv
54,Torque teno mini virus 5,687332,chrf_rna_0086_s86.csv
55,Sphingomonas taxi,13687,chrf_rna_0028_s28.csv
56,Streptococcus pneumoniae,1301,chrf_rna_0062_s62.csv
57,TTV-like mini virus,687332,chrf_rna_0062_s62.csv
58,Sphingomonas taxi,13687,chrf_rna_0025_s25.csv
59,Rhodococcus fascians,1827,chrf_rna_0025_s25.csv
60,Streptococcus pneumoniae,1301,chrf_rna_0025_s25.csv
61,Torque teno virus 19,687331,chrf_rna_0025_s25.csv
62,Streptococcus pneumoniae,1301,chrf_rna_0051_s51.csv
63,TTV-like mini virus,687332,chrf_rna_0051_s51.csv
64,Neisseria meningitidis,482,chrf_rna_0063_s63.csv
65,Torque teno virus 8,687331,chrf_rna_0063_s63.csv
66,Staphylococcus warneri,1279,chrf_rna_0003_s3.csv
67,Streptococcus pneumoniae,1301,chrf_rna_0003_s3.csv
68,Torque teno virus 16,687331,chrf_rna_0003_s3.csv
69,Methylobacterium aquaticum,407,chrf_rna_0017_s17.csv
70,Anaerococcus prevotii,165779,chrf_rna_0087_s87.csv
