,microbe,microbe_genus,patient
0,Acinetobacter junii,469,chrf_rna_0065_s65.csv
1,Rheinheimera sp. F8,67575,chrf_rna_0065_s65.csv
2,Pseudomonas mendocina,286,chrf_rna_0065_s65.csv
3,Comamonas aquatica,283,chrf_rna_0065_s65.csv
4,Bacteroides vulgatus,816,chrf_rna_0042_s42.csv
5,Planococcus rifietoensis,1372,chrf_rna_0042_s42.csv
6,Pantoea agglomerans,53335,chrf_rna_0042_s42.csv
7,Kocuria turfanensis,57493,chrf_rna_0007_s7.csv
8,Methylophaga frappieri,40222,chrf_rna_0030_s30.csv
9,Providencia stuartii,586,chrf_rna_0078_s78.csv
10,Cupriavidus metallidurans,106589,chrf_rna_0078_s78.csv
11,Mycobacterium smegmatis,1763,chrf_rna_0044_s44.csv
12,Human herpesvirus 6,40272,chrf_rna_0044_s44.csv
13,Microbacterium sp. LKL04,33882,chrf_rna_0020_s20.csv
14,Cellulomonas gilvus,1707,chrf_rna_0020_s20.csv
15,Brevundimonas naejangsanensis,41275,chrf_rna_0020_s20.csv
16,Mycobacterium gilvum,1763,chrf_rna_0020_s20.csv
17,Rhodoplanes sp. Z2-YC6860,29407,chrf_rna_0054_s54.csv
18,Aerococcus viridans,1375,chrf_rna_0066_s66.csv
19,Lactobacillus reuteri,1578,chrf_rna_0066_s66.csv
20,Conexibacter woesei,191494,chrf_rna_0066_s66.csv
21,Mesorhizobium loti,68287,chrf_rna_0066_s66.csv
22,Human mastadenovirus C,10509,chrf_rna_0066_s66.csv
23,Corynebacterium maris,1716,chrf_rna_0018_s18.csv
24,Salmonella enterica,590,chrf_rna_0018_s18.csv
25,Betapapillomavirus 4,333922,chrf_rna_0018_s18.csv
26,Cutibacterium acnes,1912216,chrf_rna_0019_s19.csv
27,Escherichia coli,561,chrf_rna_0019_s19.csv
28,Sphingomonas taxi,13687,chrf_rna_0019_s19.csv
29,Streptococcus lutetiensis,1301,chrf_rna_0019_s19.csv
30,Serratia liquefaciens,613,chrf_rna_0019_s19.csv
31,Acinetobacter johnsonii,469,chrf_rna_0019_s19.csv
32,Pseudomonas putida,286,chrf_rna_0019_s19.csv
33,Planococcus antarcticus,1372,chrf_rna_0019_s19.csv
34,Paracoccus contaminans,265,chrf_rna_0019_s19.csv
35,Methylobacterium oryzae,407,chrf_rna_0089_s89.csv
36,Streptococcus mitis,1301,chrf_rna_0008_s8.csv
37,Streptomyces clavuligerus,1883,chrf_rna_0079_s79.csv
38,Micromonospora echinospora,1873,chrf_rna_0079_s79.csv
39,Mycobacterium sp. YC-RL4,1763,chrf_rna_0056_s56.csv
40,Moraxella osloensis,475,chrf_rna_0080_s80.csv
41,Enterobacter cloacae,547,chrf_rna_0006_s6.csv
42,Bosea sp. AS-1,85413,chrf_rna_0006_s6.csv
43,Leptotrichia sp. oral taxon 212,32067,chrf_rna_0006_s6.csv
44,Oryza sativa alphaendornavirus,2003394,chrf_rna_0006_s6.csv
45,Sphingomonas taxi,13687,chrf_rna_0092_s92.csv
46,Pseudomonas viridiflava,286,chrf_rna_0092_s92.csv
47,Saccharomyces cerevisiae virus L-A,11007,chrf_rna_0092_s92.csv
48,Kineococcus radiotolerans,33981,chrf_rna_0032_s32.csv
49,Salmonella enterica,590,chrf_rna_0032_s32.csv
50,Primate tetraparvovirus 1,1511911,chrf_rna_0032_s32.csv
51,Sphingomonas koreensis,13687,chrf_rna_0067_s67.csv
52,Paracoccus yeei,265,chrf_rna_0067_s67.csv
53,Rhodococcus fascians,1827,chrf_rna_0067_s67.csv
54,Deinococcus soli Cha et al. 2016,1298,chrf_rna_0067_s67.csv
55,Microbacterium aurum,33882,chrf_rna_0067_s67.csv
56,Kocuria palustris,57493,chrf_rna_0053_s53.csv
57,Lactobacillus rhamnosus,1578,chrf_rna_0068_s68.csv
58,Human mastadenovirus C,10509,chrf_rna_0068_s68.csv
59,Staphylococcus epidermidis,1279,chrf_rna_0021_s21.csv
60,Micrococcus luteus,1269,chrf_rna_0021_s21.csv
61,Methylobacterium aquaticum,407,chrf_rna_0021_s21.csv
62,Enterococcus cecorum,1350,chrf_rna_0021_s21.csv
63,Salinicoccus halodurans,45669,chrf_rna_0021_s21.csv
64,Lactobacillus crispatus,1578,chrf_rna_0021_s21.csv
65,Staphylococcus saprophyticus,1279,chrf_rna_0009_s9.csv
66,Corynebacterium ureicelerivorans,1716,chrf_rna_0009_s9.csv
67,Nitrosomonas sp. Is79A3,914,chrf_rna_0009_s9.csv
68,Saccharomyces cerevisiae virus L-A,11007,chrf_rna_0009_s9.csv
69,Escherichia coli,561,chrf_rna_0091_s91.csv
70,Pseudonocardia sp. AL041005-10,1847,chrf_rna_0091_s91.csv
71,Corynebacterium ureicelerivorans,1716,chrf_rna_0077_s77.csv
72,Ralstonia mannitolilytica,48736,chrf_rna_0077_s77.csv
73,Pseudonocardia dioxanivorans,1847,chrf_rna_0031_s31.csv
74,Blastococcus saxobsidens,38501,chrf_rna_0031_s31.csv
75,Corynebacterium ureicelerivorans,1716,chrf_rna_0031_s31.csv
76,Modestobacter marinus,88138,chrf_rna_0031_s31.csv
77,Staphylococcus aureus,1279,chrf_rna_0090_s90.csv
78,Pseudomonas putida,286,chrf_rna_0090_s90.csv
79,Veillonella parvula,29465,chrf_rna_0090_s90.csv
80,Cutibacterium acnes,1912216,chrf_rna_0043_s43.csv
81,Corynebacterium urealyticum,1716,chrf_rna_0043_s43.csv
82,Streptomyces avermitilis,1883,chrf_rna_0043_s43.csv
