,microbe,microbe_genus,patient
0,Mycobacterium dioxanotrophicus,1763,chrf_rna_0032_s32.csv
1,Escherichia coli,561,chrf_rna_0032_s32.csv
2,Mycobacterium sp. YC-RL4,1763,chrf_rna_0007_s7.csv
3,Escherichia coli,561,chrf_rna_0079_s79.csv
4,Mycobacterium dioxanotrophicus,1763,chrf_rna_0079_s79.csv
5,Mycobacterium sp. YC-RL4,1763,chrf_rna_0089_s89.csv
6,Stenotrophomonas maltophilia,40323,chrf_rna_0089_s89.csv
7,Acinetobacter johnsonii,469,chrf_rna_0089_s89.csv
8,Escherichia coli,561,chrf_rna_0089_s89.csv
9,Mycobacterium sp. YC-RL4,1763,chrf_rna_0056_s56.csv
10,Streptococcus pneumoniae,1301,chrf_rna_0031_s31.csv
11,Acinetobacter junii,469,chrf_rna_0065_s65.csv
12,Escherichia coli,561,chrf_rna_0008_s8.csv
13,Acinetobacter junii,469,chrf_rna_0067_s67.csv
14,Escherichia coli,561,chrf_rna_0067_s67.csv
15,Mycobacterium sp. YC-RL4,1763,chrf_rna_0042_s42.csv
16,Acinetobacter johnsonii,469,chrf_rna_0077_s77.csv
17,Acinetobacter johnsonii,469,chrf_rna_0080_s80.csv
18,Mycobacterium sp. YC-RL4,1763,chrf_rna_0044_s44.csv
19,Mycobacterium sp. YC-RL4,1763,chrf_rna_0078_s78.csv
20,Mycobacterium sp. YC-RL4,1763,chrf_rna_0068_s68.csv
21,Acinetobacter johnsonii,469,chrf_rna_0006_s6.csv
22,Escherichia coli,561,chrf_rna_0006_s6.csv
23,Salmonella enterica,590,chrf_rna_0018_s18.csv
24,Mycobacterium dioxanotrophicus,1763,chrf_rna_0020_s20.csv
25,Mycobacterium sp. YC-RL4,1763,chrf_rna_0019_s19.csv
26,Mycobacterium sp. YC-RL4,1763,chrf_rna_0043_s43.csv
